user_id,event_time,event_type,product_id,category_code,brand,price
1102,3/4/2023 22:42,view,5073,electronics.smartphone,Samsung,870.9
1435,1/1/2023 22:32,view,5008,electronics.smartphone,Nike,1484.46
1860,2/27/2023 23:02,view,5084,electronics.audio,Samsung,1039.52
1270,2/13/2023 2:42,view,5076,electronics.smartphone,Nike,1112.26
1106,2/12/2023 7:23,view,5009,apparel.shoes,IKEA,57.82
1071,2/5/2023 21:16,view,5074,electronics.smartphone,Nike,41.83
1700,3/3/2023 21:00,view,5067,electronics.audio,Samsung,63.8
1020,2/11/2023 9:00,view,5057,electronics.audio,Samsung,1487.67
1614,3/3/2023 14:37,view,5094,apparel.shoes,Nike,1469.48
1121,3/6/2023 11:57,view,5051,furniture.bedroom,Samsung,508.42
1466,3/1/2023 14:38,view,5033,apparel.shoes,Nike,443.56
1214,1/14/2023 2:28,view,5034,electronics.audio,Apple,227.48
1330,1/9/2023 9:06,view,5032,furniture.bedroom,Sony,500.42
1458,1/5/2023 12:48,view,5071,apparel.shoes,Nike,561.52
1087,3/7/2023 16:08,cart,5031,apparel.shoes,Apple,1124.94
1372,2/4/2023 7:58,purchase,5054,furniture.bedroom,Apple,1300.78
1099,1/8/2023 0:01,cart,5096,apparel.shoes,Apple,1122.64
1871,1/18/2023 20:51,view,5007,furniture.bedroom,Apple,973.25
1663,1/27/2023 10:11,cart,5045,electronics.smartphone,Nike,1151.19
1130,2/4/2023 0:12,view,5013,furniture.bedroom,Samsung,1110.36
1661,2/26/2023 8:18,view,5097,apparel.shoes,Apple,718.87
1308,1/17/2023 4:57,view,5007,electronics.smartphone,IKEA,510.42
1769,2/1/2023 22:19,cart,5070,electronics.audio,Apple,431.34
1343,1/27/2023 17:44,view,5076,electronics.audio,Samsung,1022.24
1491,1/1/2023 11:39,view,5053,electronics.audio,Samsung,1439.36
1413,1/14/2023 20:30,cart,5020,apparel.shoes,Sony,875.77
1805,2/16/2023 20:42,cart,5095,electronics.smartphone,Sony,1369.66
1385,1/12/2023 1:22,view,5074,furniture.bedroom,Apple,31.2
1191,2/11/2023 2:12,view,5013,electronics.audio,Apple,1193.76
1955,1/3/2023 5:38,view,5074,electronics.audio,Sony,1281.87
1276,2/15/2023 11:38,cart,5001,electronics.smartphone,Apple,950.18
1160,1/28/2023 13:04,view,5097,electronics.smartphone,IKEA,1401.75
1459,2/24/2023 1:50,view,5060,electronics.smartphone,Nike,888.97
1313,3/8/2023 10:43,cart,5016,apparel.shoes,Sony,368.4
1021,1/17/2023 8:30,view,5077,electronics.smartphone,Sony,331.42
1252,2/1/2023 5:04,view,5088,furniture.bedroom,Samsung,838.2
1747,2/25/2023 1:11,view,5047,furniture.bedroom,Apple,1360.66
1856,1/27/2023 12:11,view,5090,electronics.audio,Sony,117.83
1560,1/19/2023 21:59,view,5007,furniture.bedroom,Sony,910.54
1474,2/24/2023 18:42,view,5055,electronics.smartphone,IKEA,1157.01
1058,1/11/2023 15:53,view,5016,furniture.bedroom,Apple,181.95
1510,1/17/2023 3:45,view,5068,electronics.audio,Nike,183.99
1681,2/23/2023 6:00,view,5011,apparel.shoes,IKEA,555.53
1475,2/3/2023 17:12,purchase,5037,furniture.bedroom,Nike,418.08
1699,2/26/2023 21:25,purchase,5017,electronics.audio,Samsung,305.49
1975,2/5/2023 5:15,view,5025,electronics.audio,Sony,306.05
1782,1/21/2023 23:13,view,5094,electronics.smartphone,IKEA,204.7
1189,2/23/2023 7:07,view,5036,electronics.audio,Nike,920.17
1957,1/28/2023 11:27,cart,5069,furniture.bedroom,Apple,1035.31
1686,1/15/2023 17:28,view,5040,electronics.audio,Samsung,1057.37
1957,1/16/2023 15:45,purchase,5078,electronics.audio,Samsung,803.21
1562,2/26/2023 5:59,view,5041,electronics.smartphone,Sony,1429.83
1875,2/2/2023 1:13,purchase,5089,electronics.smartphone,Sony,1321.99
1566,2/10/2023 14:19,cart,5075,furniture.bedroom,Nike,1436.87
1243,3/5/2023 10:19,cart,5040,electronics.audio,Nike,589.31
1831,1/18/2023 10:48,view,5046,apparel.shoes,Samsung,1317.9
1504,2/14/2023 14:10,view,5013,electronics.audio,Nike,1146.68
1130,2/14/2023 7:36,view,5000,apparel.shoes,Sony,516.56
1484,1/17/2023 12:41,view,5016,furniture.bedroom,Samsung,168.82
1818,2/6/2023 4:32,view,5096,electronics.smartphone,Samsung,1027.11
1646,1/5/2023 22:23,view,5054,furniture.bedroom,Apple,213.31
1020,2/10/2023 8:50,view,5092,electronics.smartphone,Apple,447.73
1840,1/22/2023 0:25,view,5052,electronics.smartphone,Nike,755.54
1166,1/31/2023 13:40,view,5030,electronics.audio,Nike,1023.02
1273,1/10/2023 18:56,view,5061,electronics.audio,Sony,1390.08
1387,1/16/2023 2:08,purchase,5007,electronics.smartphone,Sony,893.93
1600,2/20/2023 4:51,view,5029,apparel.shoes,Apple,1010.41
1315,2/27/2023 16:44,view,5076,apparel.shoes,Samsung,471.92
1013,1/29/2023 15:39,view,5079,electronics.audio,IKEA,1034.07
1241,3/10/2023 13:32,cart,5065,furniture.bedroom,IKEA,662.31
1776,2/16/2023 12:29,view,5044,apparel.shoes,Nike,1286.83
1345,2/1/2023 6:53,view,5017,electronics.smartphone,IKEA,594.75
1564,1/2/2023 10:17,view,5098,electronics.audio,IKEA,707.73
1897,2/19/2023 20:48,view,5044,electronics.audio,Apple,654.56
1339,1/19/2023 7:17,view,5018,electronics.smartphone,Samsung,1218.57
1091,1/1/2023 8:39,purchase,5076,furniture.bedroom,Sony,1431.01
1366,1/21/2023 16:32,purchase,5067,electronics.smartphone,Apple,497.64
1955,1/17/2023 12:44,view,5082,furniture.bedroom,Sony,717.79
1454,1/8/2023 0:56,view,5049,electronics.audio,Apple,1061.83
1427,3/7/2023 9:52,view,5024,furniture.bedroom,Apple,1344.12
